"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"fused_moe_kernel",42320,4829545961,114119.706073,25.38,13160,1953012,111836.753931
"elementwise_kernel_manual_unroll",633720,2370775863,3741.046303,12.46,1040,584163,6284.667856
"vectorized_elementwise_kernel",569558,1604202025,2816.573597,8.43,680,473843,4255.775678
"triton_red_fused__softmax__to_copy_add_bitwise_not_exp_gather_mul_ne_rms_norm_sub_view_5",23067,1264181417,54804.760784,6.64,6640,2934858,192215.696925
"Cijk_Alik_Bljk_BSS_BH_Bias_HA_S_SAV_UserArgs_MT16x32x256_MI16x16x1_SN_LDSB0_AFC1_AG0_AFEM1_AFEM1_ASEM1_CB0_CD1_1_CLR1_CADS0_DTLA0_DTLB0_DTLM0_DTVA0_DTVB1_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_HPLR0_ISA1201_ICIW0_IU1_K1_LDSTI0_LBSPPA512_LBSPPB0_LBSPPMXSA0_LBSPPMXSB0_LBSPPM0_LPA16_LPB0_LPMXSA0_LPMXSB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MXLIBL_MXSFNS_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD0_NTE0_NTMXSA0_NTMXSB0_NTM0_NTWS0_NVn1_NVA0_NVB0_NVC0_NVD0_NVE0_NVMXSA0_NVMXSB0_NVM0_NVWS0_NEPBS0_NLCA1_NLCB16_ONLL0_PGR2_PLR1_PKA0_SGROB0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_SIP1_SGRO0_TDMI0_TDMS0_TIN0_THn1_THA0_THB0_THC0_THD0_THE0_THMXSA0_THMXSB0_THM0_THWS0_TLDS1_TLDSM1_ULSGRO0_USL1_USLMX0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG16_4_1",517,878047657,1698351.367505,4.61,1571130,2605576,65877.273005
"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x32x256_MI16x16x1_SN_LDSB0_AFC1_AG0_AFEM1_AFEM1_ASEM1_CB0_CD1_1_CLR1_CADS0_DTLA0_DTLB0_DTLM0_DTVA0_DTVB1_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_HPLR0_ISA1201_ICIW0_IU1_K1_LDSTI0_LBSPPA512_LBSPPB0_LBSPPMXSA0_LBSPPMXSB0_LBSPPM0_LPA16_LPB0_LPMXSA0_LPMXSB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MXLIBL_MXSFNS_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD0_NTE0_NTMXSA0_NTMXSB0_NTM0_NTWS0_NVn1_NVA0_NVB0_NVC0_NVD0_NVE0_NVMXSA0_NVMXSB0_NVM0_NVWS0_NEPBS0_NLCA1_NLCB16_ONLL0_PGR2_PLR1_PKA0_SGROB0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_SIP1_SGRO0_TDMI0_TDMS0_TIN0_THn1_THA0_THB0_THC0_THD0_THE0_THMXSA0_THMXSB0_THM0_THWS0_TLDS1_TLDSM1_ULSGRO0_USL1_USLMX0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG16_4_1",280,812868781,2903102.789286,4.27,63001,16837622,4928603.907159
"reduce_kernel",106723,701015465,6568.550968,3.68,1760,317762,5844.313511
"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AG0_AFEM1_AFEM1_ASEM1_CB0_CD1_1_CLR1_CADS0_DTLA0_DTLB0_DTLM0_DTVA0_DTVB0_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_HPLR0_ISA1201_ICIW0_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPMXSA0_LBSPPMXSB0_LBSPPM0_LPA16_LPB16_LPMXSA0_LPMXSB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MXLIBL_MXSFNS_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD0_NTE0_NTMXSA0_NTMXSB0_NTM0_NTWS0_NVn1_NVA0_NVB0_NVC0_NVD0_NVE0_NVMXSA0_NVMXSB0_NVM0_NVWS0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA0_SGROB0_SIA1_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_SIP1_SGRO0_TDMI0_TDMS0_TIN0_THn1_THA0_THB0_THC0_THD0_THE0_THMXSA0_THMXSB0_THM0_THWS0_TLDS1_TLDSM1_ULSGRO0_USL1_USLMX0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG16_2_1",41400,643600067,15545.895338,3.38,12080,79240,1859.133067
"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x128x32_MI16x16x1_SN_LDSB0_AFC1_AG0_AFEM1_AFEM1_ASEM1_CB0_CD1_1_CLR0_CADS0_DTLA0_DTLB0_DTLM0_DTVA0_DTVB1_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA4_GRVWB8_GSUAMB_GLS0_HPLR0_ISA1201_ICIW0_IU1_K1_LDSTI0_LBSPPA256_LBSPPB0_LBSPPMXSA0_LBSPPMXSB0_LBSPPM0_LPA16_LPB0_LPMXSA0_LPMXSB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT4_4_MXLIBL_MXSFNS_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD0_NTE0_NTMXSA0_NTMXSB0_NTM0_NTWS0_NVn1_NVA0_NVB0_NVC0_NVD0_NVE0_NVMXSA0_NVMXSB0_NVM0_NVWS0_NEPBS0_NLCA1_NLCB2_ONLL1_PGR2_PLR1_PKA0_SGROB0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKFTR0_SKXCCM0_SIP1_SGRO0_TDMI0_TDMS0_TIN0_THn1_THA0_THB0_THC0_THD0_THE0_THMXSA0_THMXSB0_THM0_THWS0_TLDS2_TLDSM1_ULSGRO0_USL1_USLMX0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA4_VWB1_WSGRA0_WSGRB0_WS32_WG32_4_1",21000,609297793,29014.180619,3.20,19600,407003,9329.654971
"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AG0_AFEM1_AFEM1_ASEM1_CB0_CD1_1_CLR0_CADS0_DTLA0_DTLB0_DTLM0_DTVA0_DTVB1_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_HPLR0_ISA1201_ICIW0_IU1_K1_LDSTI0_LBSPPA128_LBSPPB0_LBSPPMXSA0_LBSPPMXSB0_LBSPPM0_LPA16_LPB0_LPMXSA0_LPMXSB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MXLIBL_MXSFNS_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD0_NTE0_NTMXSA0_NTMXSB0_NTM0_NTWS0_NVn1_NVA0_NVB0_NVC0_NVD0_NVE0_NVMXSA0_NVMXSB0_NVM0_NVWS0_NEPBS0_NLCA1_NLCB2_ONLL1_PGR2_PLR1_PKA0_SGROB0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_SIP1_SGRO0_TDMI0_TDMS0_TIN0_THn1_THA0_THB0_THC0_THD0_THE0_THMXSA0_THMXSB0_THM0_THWS0_TLDS2_TLDSM1_ULSGRO0_USL1_USLMX0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG16_2_1",41320,596996318,14448.119990,3.14,4480,109681,2342.770753
"__amd_rocclr_copyBuffer",77450,578397519,7468.011866,3.04,840,529483,31245.367877
"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB1_AFC1_AG0_AFEM1_AFEM1_ASEM1_CB0_CD1_1_CLR0_CADS0_DTLA0_DTLB0_DTLM0_DTVA0_DTVB1_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_HPLR0_ISA1201_ICIW0_IU1_K1_LDSTI0_LBSPPA128_LBSPPB0_LBSPPMXSA0_LBSPPMXSB0_LBSPPM0_LPA16_LPB0_LPMXSA0_LPMXSB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MXLIBL_MXSFNS_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD0_NTE0_NTMXSA0_NTMXSB0_NTM0_NTWS0_NVn1_NVA0_NVB0_NVC0_NVD0_NVE0_NVMXSA0_NVMXSB0_NVM0_NVWS0_NEPBS0_NLCA1_NLCB2_ONLL1_PGR1_PLR1_PKA0_SGROB0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_SIP1_SGRO0_TDMI0_TDMS0_TIN0_THn1_THA0_THB0_THC0_THD0_THE0_THMXSA0_THMXSB0_THM0_THWS0_TLDS1_TLDSM1_ULSGRO0_USL1_USLMX0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG16_2_1",41080,558142159,13586.712731,2.93,4240,155961,5699.123294
"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AG0_AFEM1_AFEM1_ASEM1_CB0_CD1_1_CLR0_CADS0_DTLA0_DTLB0_DTLM0_DTVA0_DTVB0_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_HPLR0_ISA1201_ICIW0_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPMXSA0_LBSPPMXSB0_LBSPPM0_LPA16_LPB16_LPMXSA0_LPMXSB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MXLIBL_MXSFNS_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD0_NTE0_NTMXSA0_NTMXSB0_NTM0_NTWS0_NVn1_NVA0_NVB0_NVC0_NVD0_NVE0_NVMXSA0_NVMXSB0_NVM0_NVWS0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA0_SGROB0_SIA1_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_SIP1_SGRO0_TDMI0_TDMS0_TIN0_THn1_THA0_THB0_THC0_THD0_THE0_THMXSA0_THMXSB0_THM0_THWS0_TLDS2_TLDSM1_ULSGRO0_USL1_USLMX0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG16_2_1",41440,384272558,9272.986438,2.02,3720,203601,3773.411438
"roll_cuda_kernel",20720,379224496,18302.340541,1.99,10440,7609328,53060.860076
"kernel_paged_attention_2d",20800,345113813,16592.010240,1.81,1240,207122,8134.433139
"CatArrayBatchedCopy_contig",63601,271317632,4265.933429,1.43,960,152761,3591.782194
"naive_conv_ab_nonpacked_fwd_nchw_ushort_double_ushort_0",880,269040841,305728.228409,1.41,7560,28194092,2477175.660343
"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AG0_AFEM1_AFEM1_ASEM1_CB0_CD1_1_CLR0_CADS0_DTLA0_DTLB0_DTLM0_DTVA0_DTVB0_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_HPLR0_ISA1201_ICIW0_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPMXSA0_LBSPPMXSB0_LBSPPM0_LPA16_LPB16_LPMXSA0_LPMXSB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MXLIBL_MXSFNS_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD0_NTE0_NTMXSA0_NTMXSB0_NTM0_NTWS0_NVn1_NVA0_NVB0_NVC0_NVD0_NVE0_NVMXSA0_NVMXSB0_NVM0_NVWS0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA0_SGROB0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_SIP1_SGRO0_TDMI0_TDMS0_TIN0_THn1_THA0_THB0_THC0_THD0_THE0_THMXSA0_THMXSB0_THM0_THWS0_TLDS2_TLDSM1_ULSGRO0_USL1_USLMX0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG16_2_1",20720,218422976,10541.649421,1.15,5080,204161,3202.211772
"gatherTopK",21160,195408048,9234.784877,1.03,3800,79001,3966.506836
"dynamic_per_token_scaled_fp8_quant_kernel_strided",42320,161579172,3818.033365,0.8490,1560,98641,4619.637227
"index_elementwise_kernel",42882,152312420,3551.896367,0.8003,2400,22160,2156.885351
"moe_align_block_size_small_batch_expert_kernel",20760,141234720,6803.213873,0.7421,3160,15281,3800.039845
"reshape_and_cache_kernel_flash",21400,134481602,6284.187009,0.7066,1120,20400,4800.377098
"triton_poi_fused_0",23599,111131115,4709.145091,0.5839,840,745524,9946.780075
"triton_",4355,97842791,22466.771757,0.5141,5080,857965,36840.479755
"triton_poi_fused_gelu_2",44443,93600065,2106.069910,0.4918,1360,221682,2498.384338
"vectorized_gather_kernel",41854,71588640,1710.437234,0.3762,1280,15881,972.795029
"triton_red_fused__to_copy_add_mul_rms_norm_view_0",21163,68417708,3232.892690,0.3595,2000,1048886,17848.935193
"triton_per_fused__softmax__to_copy_add_exp_prepare_softmax_online_sub_3",23707,63864857,2693.924031,0.3356,1400,23000,2537.350873
"triton_per_fused_add_mul_rms_norm_1",20633,45474179,2203.953812,0.2389,1480,25560,1089.808998
"_ZN4vllm18act_and_mul_kernelIN3c108BFloat16E15__hip_bfloat162TnPFT_RKS4_EXadL_ZNS_11silu_kernelIS2_EES4_S6_EETnPFT0_RKSA_EXadL_ZNS_18packed_silu_kernelIS3_EES4_S6_EELb1ELb1ELb0ELb0EEEvPS4_PS5_if",21160,39839539,1882.775945,0.2093,1200,233361,5747.177379
"triton_poi_fused__softmax__to_copy_cat_clamp_exp_gather_moe_forward_sub_4",22859,39296572,1719.085349,0.2065,1280,16640,700.911295
"triton_poi_fused_zeros_6",22223,38377280,1726.917158,0.2017,640,15600,2721.401949
"distribution_elementwise_grid_stride_kernel",812,37606511,46313.437192,0.1976,1600,6206036,293145.315937
"cunn_SoftMaxForwardGmem",519,34707564,66873.919075,0.1824,51681,95761,2243.070175
"Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x64x32_MI16x16x1_SN_LDSB0_AFC1_AG0_AFEM1_AFEM1_ASEM1_CB0_CD1_1_CLR1_CADS0_DTLA0_DTLB0_DTLM0_DTVA1_DTVB0_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_HPLR0_ISA1201_ICIW0_IU1_K1_LDSTI0_LBSPPA0_LBSPPB128_LBSPPMXSA0_LBSPPMXSB0_LBSPPM0_LPA0_LPB16_LPMXSA0_LPMXSB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT2_2_MXLIBL_MXSFNS_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD0_NTE0_NTMXSA0_NTMXSB0_NTM0_NTWS0_NVn1_NVA0_NVB0_NVC0_NVD0_NVE0_NVMXSA0_NVMXSB0_NVM0_NVWS0_NEPBS0_NLCA2_NLCB1_ONLL0_PGR2_PLR1_PKA0_SGROB0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_SIP1_SGRO0_TDMI0_TDMS0_TIN0_THn1_THA0_THB0_THC0_THD0_THE0_THMXSA0_THMXSB0_THM0_THWS0_TLDS1_TLDSMn1_ULSGRO0_USL1_USLMX0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA1_VWB2_WSGRA0_WSGRB0_WS32_WG32_4_1",40,29499701,737492.525000,0.1550,37760,3626662,1373147.989626
"Im2d2Col_v2",800,26783647,33479.558750,0.1407,2560,1533409,182285.735937
"wvSplitK_hf_sml_",3720,24711556,6642.891398,0.1298,1240,243842,9096.591330
"_ZN2ck16tensor_operation6device12_GLOBAL__N_149kernel_grouped_conv_fwd_multiple_abd_xdl_cshuffleINS_34GridwiseGemmMultipleD_xdl_cshuffleIDF16bDF16bDF16bfDF16bNS_5TupleIJEEEDF16bNS0_12element_wise11PassThroughES8_S8_Li1ELi64ELi64ELi16ELi16ELi4ELi4ELi16ELi16ELi2ELi1ENS_8SequenceIJLi4ELi16ELi1EEEENS9_IJLi0ELi2ELi1EEEESB_Li1ELi4ELi4ELb0ELi1ESA_NS9_IJLi1ELi0ELi2EEEESC_Li2ELi1ELi4ELb0ELi1ELi1ELi1ENS9_IJLi1ELi16ELi1ELi4EEEELi1ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0EDF16bLb0EEEPKDF16bSI_S6_DF16bS8_S8_S8_NS_16TensorDescriptorINS5_IJNS_5EmbedINS5_IJiiiiiEEESL_Lb0EEENS_11PassThroughIiEENS_3PadIiiiLb0EEESQ_SO_SO_SO_NSK_INS5_IJiiEEESR_Lb0EEESS_SO_SO_NS_23Merge_v2_magic_divisionINS5_IJiiiiEEEEENST_INS5_IJiiiEEEEENS_8RightPadIiiLb0EEESZ_NS_7UnMergeINS5_IJiNS_17integral_constantIiLi4EEEEEELb0EEESO_EEENS5_IJNS9_IJLi0EEEENS9_IJLi1EEEENS9_IJLi2EEEENS9_IJLi3EEEENS9_IJLi4EEEENS9_IJLi5EEEENS9_IJLi6EEEENS9_IJLi7EEEENS9_IJLi8EEEENS9_IJLi9EEEENS9_IJLi10EEEENS9_IJLi11ELi13ELi15ELi16EEEENS9_IJLi12ELi14ELi17EEEENS9_IJLi18EEEENS9_IJLi19EEEENS9_IJLi21EEEENS9_IJLi20EEEEEEENS5_IJNS9_IJLi1ELi2ELi3ELi4ELi5EEEES1C_S1D_S1E_S1F_S1G_NS9_IJLi11EEEENS9_IJLi12ELi13EEEENS9_IJLi14ELi15EEEENS9_IJLi16EEEENS9_IJLi17EEEES1J_S1K_S1M_S1L_NS9_IJLi22ELi23EEEENS9_IJLi24EEEEEEENS9_IJLi22ELi24ELi23EEEElEENSJ_INS5_IJNSK_ISW_SW_Lb0EEENST_ISR_EESO_SZ_SZ_S14_SO_EEENS5_IJS16_NS9_IJLi1ELi2EEEES19_S1A_S1B_S1D_S1C_EEENS5_IJNS9_IJLi1ELi2ELi3EEEES1A_S1B_S1C_S1D_NS9_IJLi8ELi9EEEES1G_EEENS9_IJLi8ELi10ELi9EEEElEES6_NSJ_INS5_IJNSK_INS5_IJiiiiiiEEES29_Lb0EEESX_SO_SQ_SO_SO_NS_3XorISR_Lb0EEESO_S20_S20_SZ_SZ_NS10_INS5_IJiNS11_IiLi64EEEEEELb0EEENS10_INS5_IJiNS11_IiLi16EEEEEELb0EEEEEENS5_IJS16_S24_S1A_S1B_S1C_S1D_S25_S1G_NS9_IJLi11ELi12EEEENS9_IJLi13ELi14EEEENS9_IJLi15EEEES1S_S1T_S1J_EEENS5_IJNS9_IJLi1ELi2ELi3ELi4ELi5ELi6EEEES1D_S1E_S1F_S1G_S1P_S1Q_NS9_IJLi14EEEES2M_S1S_S1T_S1J_NS9_IJLi19ELi20EEEENS9_IJLi21ELi22EEEEEEENS9_IJLi19ELi20ELi21ELi22EEEElEENS_31BlockToCTileMap_M00_N0_M01AdaptILi64ELi16ENSJ_INS5_IJS2A_SX_SO_SQ_SO_SO_S2C_SO_S20_S20_SZ_SZ_EEENS5_IJS16_S24_S1A_S1B_S1C_S1D_S25_S1G_S2K_S2L_S2M_S1S_EEENS5_IJS2O_S1D_S1E_S1F_S1G_S1P_S1Q_S2P_S2M_S1S_S1T_S1J_EEENS9_IJLi17ELi18EEEElEEiEENS1_30ComputePtrOffsetOfStridedBatchILi1ELi1ELi0EvEES33_Lb0ELb0ELb0ELb0EEEvT0_T1_T2_PT3_T4_T5_T6_T7_T8_T9_T10_T11_T12_T13_",80,12922162,161527.025000,0.0679,3640,1658651,455217.844877
"_topk_topp_kernel",4,11478511,2869627.750000,0.0603,2474455,3529542,503112.872706
